Category,Crop,QueryType,QueryText,KccAns,Refer,,,,,,,
Cereals,Rice,Nutrient Management,"INFORMATION REGARDING/DETAILS ABOUT/TELL ME TOTAL FERTILIZER APPLICATION IN WHEAT CROP
?","Fertilizers for wheat - 90 kg urea, 55 kg DAP or 155 kg super phosphate and 40 kg muriate of potash (in Gurdaspur, Hoshiarpur, Ropar and Shaheed Bhagat Singh Nagar districts) or 20 kg muriate of potash (rest of PUNJAB) Add as per soil test report in districts)","[Reference: www.data.gov.in, Kisan Calling Center]",,,,,,,
Cereals,Rice,Nutrient Management,"INFORMATION REGARDING/DETAILS ABOUT/TELL ME BETTER GROWTH OF BOTTLE GOURD CROP
?","For good growth, spray 1 kg NPK at 19:19:19 per 100 liters of water per acre.","[Reference: www.data.gov.in, Kisan Calling Center]",,,,,,,
Cereals,Rice,Fertilizer Uses,"INFORMATION REGARDING/DETAILS ABOUT/TELL ME FERTILIZER DOSE IN PADDY NURSERY 
?","Apply 60 kg super phosphate, 26 kg urea, 40 kg zinc 21% or 25 kg zinc 33% before sowing and 26 kg urea per acre after 15 days.","[Reference: www.data.gov.in, Kisan Calling Center]",,,,,,,
Cereals,Rice,Nutrient Management,"INFORMATION REGARDING/DETAILS ABOUT/TELL ME NUTRIENT MANAGEMENT IN LAND WHERE UPPER LAYER IS REMOVED OR ADDED
?","Apply fertilizers based on soil test in the field from which the soil is tilled or placed, add green manure or manure every year, check the signs of the weeds and spray a mixture of nutrients for good yield.","[Reference: www.data.gov.in, Kisan Calling Center]",,,,,,,
Cereals,Rice,Fertilizer Uses,"INFORMATION REGARDING/DETAILS ABOUT/TELL ME COLLECT A SOIL SAMPLE FOR SOIL TESTING FOR FERTILIZER RECOMMENDATION
?","To take a soil sample to determine the need for fertilizers, remove the grass from the top layer of the soil, make a 'V' shape with the help of a hoe to a depth of 6 inches and dig an inch thick layer evenly on one side. Take 5-7 samples from one field and mix the soil of all the samples at one place and take half kg of it as soil sample to the soil testing laboratory.","[Reference: www.data.gov.in, Kisan Calling Center]",,,,,,,
Cereals,Rice,Nutrient Management,"
INFORMATION REGARDING/DETAILS ABOUT/TELL ME THE CONTROL OF BORON DEFICIENCY IN PADDY 
?",Spray 100 grams of boron in 100 liters of water per acre.,"[Reference: www.data.gov.in, Kisan Calling Center]",,,,,,,
Cereals,Rice,Fertilizer Uses,"INFORMATION REGARDING/DETAILS ABOUT/TELL ME FERTILIZER DOSE IN  BASMATI 1637,1121 & 1718?","Basmati 1637,1121 & 1718 Fertilizers - 36 kg Urea, 27 kg DAP or 75 kg Super Phosphate and 20 kg MOP per acre. If DAP has been applied in rubber crop then do not apply in kharif crop, use potash only on the basis of soil test, apply urea in equal proportion, apply in 3rd and 6th week.","[Reference: www.data.gov.in, Kisan Calling Center]",,,,,,,
Cereals,Rice,Nutrient Management,INFORMATION REGARDING/DETAILS ABOUT/TELL ME INFORMATION REGARDING/DETAILS ABOUT/TELL ME CONTROL ZINC DEFICIENCY IN PADDY  NURSERY?,Spray 5 grams of Zinc Sulphate 21% per liter of water to meet the deficiency of zinc on paddy and basmati.,"[Reference: www.data.gov.in, Kisan Calling Center]",,,,,,,
Cereals,Rice,Nutrient Management,INFORMATION REGARDING/DETAILS ABOUT/TELL ME THE BETTER GROWTH OF PADDY/BASMATI NURSERY?,Recommended Fertilizers for Good Growth of Paddy/Basmati Plant If still growth is not good then add 125g NPK 19:19:19 in 12.5 liters of water (10g per liter) per kanal. Spray sparingly,"[Reference: www.data.gov.in, Kisan Calling Center]",,,,,,,
Cereals,Rice,Nutrient Management,"INFORMATION REGARDING/DETAILS ABOUT/TELL ME PADDY NURSERY FERTILIZER MANAGEMENT	?",Spray 2 grams of DAP with a liter of water.,"[Reference: www.data.gov.in, Kisan Calling Center]",,,,,,,
Cereals,Rice,Nutrient Management,INFORMATION REGARDING/DETAILS ABOUT/TELL ME HOW DO YOU USE HUMIC ACID IN PADDY?,The optimal formula is the solution of humic acid 0.03 percent and it should be sprayed earlier at the time of tillerage or it is better at the time of tillerage and rice booting stage.,"[Reference: www.data.gov.in, Kisan Calling Center]",,,,,,,
Cereals,Rice,Nutrient Management,INFORMATION REGARDING/DETAILS ABOUT/TELL ME MICRO NUTRIENT MANAGEMENT IN PADDY  ?,Use 5 kg of micronutrients per acre,"[Reference: www.data.gov.in, Kisan Calling Center]",,,,,,,
Cereals,Rice,Fertilizer Uses,"INFORMATION REGARDING/DETAILS ABOUT/TELL ME PADDY TOP DRESSING FERTILIZER MANAGEMENT	?",Use 5 kg of urea 25 kg + potash 15 kg + neem.,"[Reference: www.data.gov.in, Kisan Calling Center]",,,,,,,
Cereals,Rice,Fertilizer Uses,"INFORMATION REGARDING/DETAILS ABOUT/TELL ME PADDY FERTILIZER (MN) MANAGEMENT	?",Use the micronutrients a mixture of 5 kg fifteen days per acre.,"[Reference: www.data.gov.in, Kisan Calling Center]",,,,,,,
Cereals,Rice,Nutrient Management,INFORMATION REGARDING/DETAILS ABOUT/TELL MEPADDY ACTIVE TILLERING STAGE FERTILIZER MANAGEMENT?,Urea 32 kg + potash 8 kg per acre from seedlings in 55 to 60 days,"[Reference: www.data.gov.in, Kisan Calling Center]",,,,,,,
Cereals,Rice,Fertilizer Uses,INFORMATION REGARDING/DETAILS ABOUT/TELL ME FERTILIZER DOSE IN PADDY NURSERY?,"Apply 60 kg super phosphate, 26 kg urea, 40 kg zinc 21% or 25 kg zinc 33% before sowing and 26 kg urea per acre after 15 days.","[Reference: www.data.gov.in, Kisan Calling Center]",,,,,,,
Cereals,Rice,Nutrient Management,INFORMATION REGARDING/DETAILS ABOUT/TELL ME NUTRIENT MANAGEMENT IN LAND WHERE UPPER LAYER IS REMOVED OR ADDED?,"Apply fertilizers based on soil test in the field from which the soil is tilled or placed, add green manure or manure every year, check the signs of the weeds and spray a mixture of nutrients for good yield.","[Reference: www.data.gov.in, Kisan Calling Center]",,,,,,,
Cereals,Rice,Nutrient Management,INFORMATION REGARDING/DETAILS ABOUT/TELL ME BETTER GROWTH OF BOTTLE GOURD CROP?,"For good growth, spray 1 kg NPK at 19:19:19 per 100 liters of water per acre.","[Reference: www.data.gov.in, Kisan Calling Center]",,,,,,,
